name,name_en,type,address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time
Нисэх Миний Хайпермаркет АТМ,Nisekh Minii Hypermarket ATM,atm,10-р хороо  нисэх спорт ордны хойно  ,10th khoroo  back side of Nisekh sport complex  Minii hypermarket,Даваа-Ням 09:00-22:00 цаг,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
Баянзүрх дүүргийн эрүүл мэндийн нэгдсэн эмнэлэг АТМ,General Health Clinic of Bayanzurkh АТМ,atm,22-р хороо  БЗД-ийн эрүүл мэндийн нэгдсэн эмнэлэг ,22nd khoroo  Bayanzurkh district  General Health Clinic of Bayanzurkh ,Даваа-Ням 07:00-24:00 цаг,Mon-Sun 7am-12pm,1800-1888,1,1,1,1,1,1,1,7:00:00 AM,11:59:00 PM
Баянмонгол тооцооны төв  Экспресс банк АТМ,Xacbank Bayanmongol branch  express bank АТМ,atm,26-р хороо  Хүннүгийн гудамж  Элизабет хотхон  Хас банк Баянмонгол тооцооны төв ,Bayanzurkh district  26th khoroo  Khunnu street  Elizabeth town Xacbank Bayanmongol branch,Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,7:00:00 AM,11:59:00 PM
Well mart супермаркет  Экспресс АТМ,Well mart Supermarket  Express ATM,atm,11-р хороо  Буянт Ухаа хороолол  Well mart,Khan-Uul district  11st khoroo  buyant Ukhaa  Well mart ,Даваа-Ням 09:00-22:00 цаг,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
Бест массаж ATM,Best Massage ATM,atm,3-р хороо  Монголын Хараагүйчүүдын Үндэсний Холбоо  Бест массаж ,Khan-uul district  3rd khoroo  Union of the Black Eyed Peas of Mongolia  Best massage ,Даваа-Ням 09:00-20:00 цаг,Mon-Sun 9am-8pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Бидний дэлгүүр  ATM,Bidnii Supermarket ATM,atm,30-р хороо 1-р хороолол  Өнөр хорооллын гудамж  34-р байрны замын хойно  Бидний дэлгүүр ,Songinokhairkhan  1st district  30th khoroo  Bidnii Supermarket,Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:00:00 PM
Амгалан М-Март АТМ,Amgalan M-Mart ATM,atm,Баянзүрх дүүрэг  Амгалан М-Март ,Bayanzurkh  Amgalan M-Mart,Даваа-Ням 09:00-23:00 цаг,Mon-Sun 9am-11pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,11:00:00 PM
Гүен хүнсний дэлгүүр АТМ,Guyen Mini market ATM,atm,28-р хороо  Гачууртын зам  Хужирбулан  Гүен хүнсний дэлгүүр ,Bayanzurkh district  28 th khoroo  the Gachuurt road  Khujirbulan  Guyen Mini market ,Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:00:00 PM
Гэгээ дэлгүүр АТМ,Gegee mini market ATM,atm,Дэнжийн 1000 цагаан байр  Гэгээ дэлгүүр,Denjiin 1000 white buildings  Gegee Mini Market ,Даваа-Ням 09:00-22:00 цаг,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
Да хүрээ Авто холл АТМ,Da Khuree Auto Hall ATM,atm,19-р хороо Да хүрээ гудамж  Авто холл ,Bayanzurkh district  19th khoroo  Da Khuree street  Auto Hall ,"Даваа-Ням 09:00-20:00 цаг
амарна","mon-Sun 9am-8pm
closed",1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Да хүрээ Манду  Экспресс АТМ,Da Khuree Mandu  Express ATM,atm,17-р хороо  Да хүрээ авто худалдааны төв  Манду хоолны газар ,Bayanzurkh district  17th khoroo  Da Khuree Auto Market  Mandu restaurant ,"Мягмар-Ням 10:00-18:00 цаг
Даваа гариг амарна","Мягмар-Ням 10:00-18:00 цаг
Monday closed",1800-1888,0,1,1,1,1,1,1,10:00:00 AM,6:00:00 PM
Да хүрээ  Нэг цэгийн үйлчилгээний төв АТМ,Da Khuree  One-stop Service Center ATM,atm,17-р хороо  Да хүрээ авто худалдааны төв  Нэг цэгийн үйлчилгээний төв,Bayanzurkh district  17th khoroo  Da Khuree Auto Market  One-stop Service Center ,Мягмар-Ням 10:00-19:00 цаг,Tue-Sun 10am-7pm,1800-1888,0,1,1,1,1,1,1,10:00:00 AM,7:00:00 PM
Дако центр АТМ,Dako Center ATM,atm,14-р хороо  Өргөө кино театрын зүүн хойно Дако центр,Bayangol district  14th khoroo  north east in the Urgoo Movie Teatre  Dako Center ,Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,7:00:00 AM,11:59:00 PM
Далайхүү АТМ,Dalaikhuu ATM,atm,14-р хороо  Хайлааст Далайхүү худалдааны төв,Chingeltei district  14th khoroo  Khailaast  Dalaikhuu Market ,Даваа-Ням 10:00-19:00 цаг,Mon-Sun 10am-7 pm,1800-1888,1,1,1,1,1,1,1,10:00:00 AM,7:00:00 PM
Да хүрээ Шинэ зоог АТМ,Da khuree Shine zoog ATM,atm,17-р хороо  Шархадны гудамж  Шинэ зоог,Bayanzurkh district  17th khoroo  Sharkhad street,"Мягмар-Ням 10:00-18:00 цаг
Даваа гариг амарна","Tue-Sun 10am-6 pm
Monday closed",1800-1888,1,1,1,1,1,1,1,9:00:00 AM,7:00:00 PM
Дүнжингарав худалдааны төв  Экспресс АТМ,Dunjingarav Trade Center  Express ATM,atm,26-р хороо  Дүнжингарав худалдааны төв  баруун жигүүр,Bayanzurkh district  26th khoroo  Dunjingarav Trade Center ,"Мягмар-Ням 10:00-19:30 цаг
Даваа гариг амарна","Tue-Sun 10am-7:30 pm
Monday closed",1800-1888,0,1,1,1,1,1,1,10:00:00 AM,7:30:00 PM
Дэмчиг Хайрхан дэлгүүр,Demchig Khairkhan Mini Market ATM,atm,Чингэлтэй дүүрэг  Шадивлан зуслангын уулзвар  Дэмчиг Хайрхан дэлгүүр ,"Chingeltei district  Intersection of Shadvilan Camp  Demchig Mini Market
",Даваа-Ням 09:00-24:00 цаг,Mon-Sun 9am-12 pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,11:59:00 PM
Саруул зах  Экспресс АТМ,Saruul market  Express ATM,atm,3-р хороо  5-р хороолол  Нарны зам Саруул зах,Sukhbaatar district  5-r khoroolol  Narnii zam  Saruul market,Даваа-Ням 10:00-20:00 цаг,Mon-Sun 10am-8pm,1800-1888,1,1,1,1,1,1,1,10:00:00 AM,8:00:00 PM
ЖМЖ худалдааны төв,GMG shopping center ,atm,9-р хороо  Баянхошууны гудамж   Жанцан буудлын ард  ЖМЖ худалдааны төв ,9th khoroo  Bayankhoshuu street  Jantsan bus station  GMG shopping center ,Даваа-Ням 08:00-20:00 цаг,Mon-Sun 8am-8pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,8:00:00 PM
Жуков худалдааны төв  Экспресс АТМ,Jukov Market  Express ATM,atm,4-р хороо  15-р хороолол  Хилчдийн гудамж  Жуков худалдааны төв ,4th Khoroo  15th Microdistrict  Khilchid Street  Jukov Market,"Мягмар-Ням 09:00-21:00 цаг
Даваа гариг амарна","Tue-Sun 9am-9pm
Monday closed",1800-1888,0,1,1,1,1,1,1,9:00:00 AM,9:00:00 PM
Зайсан Миний дэлгүүр  Экспресс АТМ ,Zaisan Minii delguur  Express ATM ,atm,11-р хороо  Зайсангийн гудамж Миний дэлгүүр,11st khoroo  Zaisan road  Minii delguur,Даваа-Ням 09:00-20:00 цаг,Mon-Sun 9am-8pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Зуун айл тооцооны төв  Экспресс АТМ,100 ail branch  Express ATM ,atm,10-р хороо  Цагдаагийн гудамж  Хаш төв  Хас банк Зуун айл тооцооны төв,10th khoroo  Khash center  100 ail branch Xacbank,"Мягмар-Ням 09:00-19:00 цаг
Даваа гариг амарна","Tue-Sun 9am-7pm
Monday closed",1800-1888,0,1,1,1,1,1,1,9:00:00 AM,7:00:00 PM
Зүтгүүрийн депо ажилчдад зориулсан ATM ,Depot station ATM for employee,atm,3-р хороо  Нарны зам  Саруул зах замын урд  Зүтгүүрийн депо ,3-р хороо  Нарны зам  Саруул зах замын урд  Зүтгүүрийн депо ,Даваа-Ням 09:00-21:00 цаг,Mon-Sun 9am-9pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,9:00:00 PM
Имарт Хороолол салбар АТМ,E-mart Solo ATM,atm,13-р хороо  Ард Аюушийн өргөн чөлөө  Имарт Хороолол салбар,13rd khoroo  Ard Ayush avenue  E-mart ,Даваа-Ням 09:00-22:00 цаг,"Mon-Sun 9am-10pm
",1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
Имарт Чингис  Экспресс АТМ ,E-mart Chinggis  Express ATM,atm,1-р хороо  12-р хороолол  Токиогийн гудамж-23  Имарт Чингис 2-р давхарт,1st Khoroo  12th Microdistrict  Tokyo Street  E-mart Chinggis 2nd floor,Даваа-Ням 09:00-22:00 цаг,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
Хангай хотхон Номин супермаркет ATM,Khangai town Nomin supermarket ATM,atm,10-р хороо  Хангай хотхоны урд Азжаргал хотхон  Номин супермаркет,10th khoroo  infront of Khangai town  Azjargal town  Nomin supermarket ,Даваа-Ням 08:30-22:30 цаг,Mon-Sun 8:30am-10:30pm,1800-1888,1,1,1,1,1,1,1,8:30:00 AM,10:30:00 PM
